ANNIO,SEMANA,MES_CALEND,UBIGEO,DEPARTAM,PROVINCIA,DISTRITO,Probables,Confirmados,Total
2000,40,OCTUBRE,10303,AMAZONAS,BONGARA,CHURUJA,0,1,1
2000,9,FEBRERO,10502,AMAZONAS,LUYA,CAMPORREDONDO,0,1,1
2000,10,MARZO,10502,AMAZONAS,LUYA,CAMPORREDONDO,0,1,1
2000,17,ABRIL,10502,AMAZONAS,LUYA,CAMPORREDONDO,0,1,1
2000,33,AGOSTO,10502,AMAZONAS,LUYA,CAMPORREDONDO,0,1,1
2000,40,OCTUBRE,10502,AMAZONAS,LUYA,CAMPORREDONDO,0,1,1
2000,44,OCTUBRE,10502,AMAZONAS,LUYA,CAMPORREDONDO,0,1,1
2000,32,AGOSTO,10512,AMAZONAS,LUYA,OCALLI,0,1,1
2000,36,SETIEMBRE,10512,AMAZONAS,LUYA,OCALLI,0,1,1
2000,3,ENERO,10513,AMAZONAS,LUYA,OCUMAL,0,1,1
2000,5,ENERO,10514,AMAZONAS,LUYA,PISUQUIA,0,1,1
2000,6,FEBRERO,10514,AMAZONAS,LUYA,PISUQUIA,0,1,1
2000,9,FEBRERO,10514,AMAZONAS,LUYA,PISUQUIA,0,2,2
2000,15,ABRIL,10514,AMAZONAS,LUYA,PISUQUIA,0,1,1
2000,6,FEBRERO,10515,AMAZONAS,LUYA,PROVIDENCIA,1,0,1
2000,7,FEBRERO,10515,AMAZONAS,LUYA,PROVIDENCIA,1,0,1
2000,35,AGOSTO,10521,AMAZONAS,LUYA,SANTO TOMAS,1,0,1
2000,41,OCTUBRE,10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,0,1,1
2000,5,ENERO,10705,AMAZONAS,UTCUBAMBA,JAMALCA,0,1,1
2000,1,ENERO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,0,1,1
2000,9,FEBRERO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,1,0,1
2000,13,MARZO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,2,0,2
2000,17,ABRIL,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,1,2,3
2000,18,ABRIL,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,0,1,1
2000,20,MAYO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,1,0,1
2000,21,MAYO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,0,1,1
2000,22,MAYO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,2,0,2
2000,23,JUNIO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,3,0,3
2000,25,JUNIO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,2,0,2
2000,26,JUNIO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,1,0,1
2000,27,JULIO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,3,0,3
2000,30,JULIO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,1,0,1
2000,33,AGOSTO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,1,0,1
2000,34,AGOSTO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,1,0,1
2000,35,AGOSTO,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,2,0,2
2000,46,NOVIEMBRE,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,1,0,1
2000,16,ABRIL,20302,ANCASH,ANTONIO RAYMONDI,ACZO,0,1,1
2000,9,FEBRERO,20301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,0,1,1
2000,29,JULIO,20301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,1,1,2
2000,2,ENERO,20402,ANCASH,ASUNCION,ACOCHACA,1,0,1
2000,3,ENERO,20402,ANCASH,ASUNCION,ACOCHACA,1,1,2
2000,32,AGOSTO,20503,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,1,0,1
2000,7,FEBRERO,20505,ANCASH,BOLOGNESI,CAJACAY,0,1,1
2000,43,OCTUBRE,20505,ANCASH,BOLOGNESI,CAJACAY,1,0,1
2000,36,SETIEMBRE,20602,ANCASH,CARHUAZ,ACOPAMPA,1,0,1
2000,48,NOVIEMBRE,20602,ANCASH,CARHUAZ,ACOPAMPA,1,0,1
2000,52,DICIEMBRE,20602,ANCASH,CARHUAZ,ACOPAMPA,1,0,1
2000,27,JULIO,20604,ANCASH,CARHUAZ,ANTA,1,0,1
2000,2,ENERO,20601,ANCASH,CARHUAZ,CARHUAZ,2,0,2
2000,8,FEBRERO,20601,ANCASH,CARHUAZ,CARHUAZ,1,0,1
2000,9,FEBRERO,20601,ANCASH,CARHUAZ,CARHUAZ,2,0,2
2000,10,MARZO,20601,ANCASH,CARHUAZ,CARHUAZ,0,1,1
2000,11,MARZO,20601,ANCASH,CARHUAZ,CARHUAZ,2,0,2
2000,12,MARZO,20601,ANCASH,CARHUAZ,CARHUAZ,2,0,2
2000,14,MARZO,20601,ANCASH,CARHUAZ,CARHUAZ,2,0,2
2000,15,ABRIL,20601,ANCASH,CARHUAZ,CARHUAZ,1,0,1
2000,16,ABRIL,20601,ANCASH,CARHUAZ,CARHUAZ,1,0,1
2000,17,ABRIL,20601,ANCASH,CARHUAZ,CARHUAZ,1,0,1
2000,21,MAYO,20601,ANCASH,CARHUAZ,CARHUAZ,1,0,1
2000,27,JULIO,20601,ANCASH,CARHUAZ,CARHUAZ,0,1,1
2000,29,JULIO,20601,ANCASH,CARHUAZ,CARHUAZ,1,1,2
2000,30,JULIO,20601,ANCASH,CARHUAZ,CARHUAZ,3,0,3
2000,31,JULIO,20601,ANCASH,CARHUAZ,CARHUAZ,1,0,1
2000,33,AGOSTO,20601,ANCASH,CARHUAZ,CARHUAZ,0,1,1
2000,34,AGOSTO,20601,ANCASH,CARHUAZ,CARHUAZ,1,0,1
2000,35,AGOSTO,20601,ANCASH,CARHUAZ,CARHUAZ,1,0,1
2000,36,SETIEMBRE,20601,ANCASH,CARHUAZ,CARHUAZ,1,0,1
2000,43,OCTUBRE,20601,ANCASH,CARHUAZ,CARHUAZ,1,1,2
2000,45,NOVIEMBRE,20601,ANCASH,CARHUAZ,CARHUAZ,1,0,1
2000,52,DICIEMBRE,20601,ANCASH,CARHUAZ,CARHUAZ,0,1,1
2000,10,MARZO,20606,ANCASH,CARHUAZ,MARCARA,1,0,1
2000,14,MARZO,20606,ANCASH,CARHUAZ,MARCARA,1,0,1
2000,18,ABRIL,20606,ANCASH,CARHUAZ,MARCARA,1,0,1
2000,23,JUNIO,20606,ANCASH,CARHUAZ,MARCARA,2,0,2
2000,25,JUNIO,20606,ANCASH,CARHUAZ,MARCARA,3,0,3
2000,26,JUNIO,20606,ANCASH,CARHUAZ,MARCARA,2,0,2
2000,29,JULIO,20606,ANCASH,CARHUAZ,MARCARA,1,0,1
2000,30,JULIO,20606,ANCASH,CARHUAZ,MARCARA,1,0,1
2000,45,NOVIEMBRE,20606,ANCASH,CARHUAZ,MARCARA,1,0,1
2000,46,NOVIEMBRE,20606,ANCASH,CARHUAZ,MARCARA,1,0,1
2000,50,DICIEMBRE,20606,ANCASH,CARHUAZ,MARCARA,1,1,2
2000,51,DICIEMBRE,20609,ANCASH,CARHUAZ,SHILLA,0,1,1
2000,9,FEBRERO,20610,ANCASH,CARHUAZ,TINCO,2,0,2
2000,11,MARZO,20610,ANCASH,CARHUAZ,TINCO,1,0,1
2000,17,ABRIL,20610,ANCASH,CARHUAZ,TINCO,1,0,1
2000,2,ENERO,20901,ANCASH,CORONGO,CORONGO,1,0,1
2000,2,ENERO,20905,ANCASH,CORONGO,LA PAMPA,1,0,1
2000,5,ENERO,20905,ANCASH,CORONGO,LA PAMPA,1,0,1
2000,11,MARZO,20905,ANCASH,CORONGO,LA PAMPA,1,0,1
2000,34,AGOSTO,20905,ANCASH,CORONGO,LA PAMPA,1,0,1
2000,36,SETIEMBRE,20905,ANCASH,CORONGO,LA PAMPA,1,0,1
2000,1,ENERO,20101,ANCASH,HUARAZ,HUARAZ,1,0,1
2000,10,MARZO,20101,ANCASH,HUARAZ,HUARAZ,1,0,1
2000,31,JULIO,20101,ANCASH,HUARAZ,HUARAZ,0,1,1
2000,35,AGOSTO,20101,ANCASH,HUARAZ,HUARAZ,1,0,1
2000,6,FEBRERO,20105,ANCASH,HUARAZ,INDEPENDENCIA,1,0,1
2000,2,ENERO,20110,ANCASH,HUARAZ,PARIACOTO,1,0,1
2000,20,MAYO,20110,ANCASH,HUARAZ,PARIACOTO,1,0,1
2000,32,AGOSTO,20110,ANCASH,HUARAZ,PARIACOTO,1,0,1
2000,15,ABRIL,21002,ANCASH,HUARI,ANRA,1,0,1
2000,37,SETIEMBRE,21002,ANCASH,HUARI,ANRA,0,1,1
2000,17,ABRIL,21004,ANCASH,HUARI,CHAVIN DE HUANTAR,0,1,1
2000,28,JULIO,21004,ANCASH,HUARI,CHAVIN DE HUANTAR,1,0,1
2000,35,AGOSTO,21004,ANCASH,HUARI,CHAVIN DE HUANTAR,0,1,1
2000,24,JUNIO,21005,ANCASH,HUARI,HUACACHI,1,0,1
2000,29,JULIO,21008,ANCASH,HUARI,HUANTAR,0,1,1
2000,4,ENERO,21001,ANCASH,HUARI,HUARI,0,1,1
2000,16,ABRIL,21001,ANCASH,HUARI,HUARI,0,1,1
2000,16,ABRIL,21009,ANCASH,HUARI,MASIN,0,1,1
2000,24,JUNIO,21010,ANCASH,HUARI,PAUCAS,0,1,1
2000,25,JUNIO,21010,ANCASH,HUARI,PAUCAS,0,1,1
2000,7,FEBRERO,21011,ANCASH,HUARI,PONTO,0,1,1
2000,30,JULIO,21014,ANCASH,HUARI,SAN MARCOS,0,1,1
2000,46,NOVIEMBRE,21016,ANCASH,HUARI,UCO,1,0,1
2000,1,ENERO,21201,ANCASH,HUAYLAS,CARAZ,5,4,9
2000,2,ENERO,21201,ANCASH,HUAYLAS,CARAZ,5,1,6
2000,3,ENERO,21201,ANCASH,HUAYLAS,CARAZ,5,0,5
2000,4,ENERO,21201,ANCASH,HUAYLAS,CARAZ,8,4,12
2000,5,ENERO,21201,ANCASH,HUAYLAS,CARAZ,4,1,5
2000,6,FEBRERO,21201,ANCASH,HUAYLAS,CARAZ,3,0,3
2000,7,FEBRERO,21201,ANCASH,HUAYLAS,CARAZ,2,3,5
2000,8,FEBRERO,21201,ANCASH,HUAYLAS,CARAZ,1,3,4
2000,9,FEBRERO,21201,ANCASH,HUAYLAS,CARAZ,4,6,10
2000,10,MARZO,21201,ANCASH,HUAYLAS,CARAZ,2,6,8
2000,11,MARZO,21201,ANCASH,HUAYLAS,CARAZ,2,2,4
2000,12,MARZO,21201,ANCASH,HUAYLAS,CARAZ,1,4,5
2000,13,MARZO,21201,ANCASH,HUAYLAS,CARAZ,3,4,7
2000,14,MARZO,21201,ANCASH,HUAYLAS,CARAZ,5,1,6
2000,15,ABRIL,21201,ANCASH,HUAYLAS,CARAZ,5,2,7
2000,16,ABRIL,21201,ANCASH,HUAYLAS,CARAZ,4,2,6
2000,17,ABRIL,21201,ANCASH,HUAYLAS,CARAZ,5,2,7
2000,18,ABRIL,21201,ANCASH,HUAYLAS,CARAZ,8,4,12
2000,19,MAYO,21201,ANCASH,HUAYLAS,CARAZ,8,3,11
2000,20,MAYO,21201,ANCASH,HUAYLAS,CARAZ,8,3,11
2000,21,MAYO,21201,ANCASH,HUAYLAS,CARAZ,7,4,11
2000,22,MAYO,21201,ANCASH,HUAYLAS,CARAZ,6,2,8
2000,23,JUNIO,21201,ANCASH,HUAYLAS,CARAZ,5,3,8
2000,24,JUNIO,21201,ANCASH,HUAYLAS,CARAZ,9,3,12
2000,25,JUNIO,21201,ANCASH,HUAYLAS,CARAZ,10,4,14
2000,26,JUNIO,21201,ANCASH,HUAYLAS,CARAZ,2,3,5
2000,29,JULIO,21201,ANCASH,HUAYLAS,CARAZ,4,1,5
2000,30,JULIO,21201,ANCASH,HUAYLAS,CARAZ,3,3,6
2000,31,JULIO,21201,ANCASH,HUAYLAS,CARAZ,5,4,9
