"","AÑO","SEMANA","MES_CALEND","UBIGEO","DEPARTAM","PROVINCIA","DISTRITO","Probables","Confirmados","Total"
"1","2000","1","ENERO",200308,"PIURA","HUANCABAMBA","SONDORILLO",1,0,1
"2","2000","1","ENERO",60904,"CAJAMARCA","SAN IGNACIO","LA COIPA",1,1,2
"3","2000","1","ENERO",200401,"PIURA","MORROPON","CHULUCANAS",0,1,1
"4","2000","1","ENERO",80403,"CUSCO","CALCA","LAMAY",1,0,1
"5","2000","1","ENERO",81306,"CUSCO","URUBAMBA","OLLANTAYTAMBO",1,0,1
"6","2000","1","ENERO",151003,"LIMA","YAUYOS","AYAUCA",1,0,1
"7","2000","1","ENERO",20101,"ANCASH","HUARAZ","HUARAZ",1,0,1
"8","2000","1","ENERO",60906,"CAJAMARCA","SAN IGNACIO","SAN JOSE DE LOURDES",0,1,1
"9","2000","1","ENERO",100701,"HUANUCO","MARANON","HUACRACHUCO",1,0,1
"10","2000","1","ENERO",21601,"ANCASH","POMABAMBA","POMABAMBA",1,0,1
"11","2000","1","ENERO",21206,"ANCASH","HUAYLAS","PAMPAROMAS",0,1,1
"12","2000","1","ENERO",60905,"CAJAMARCA","SAN IGNACIO","NAMBALLE",1,0,1
"13","2000","1","ENERO",22006,"ANCASH","YUNGAY","RANRAHIRCA",1,0,1
"14","2000","1","ENERO",22001,"ANCASH","YUNGAY","YUNGAY",1,2,3
"15","2000","1","ENERO",21201,"ANCASH","HUAYLAS","CARAZ",5,4,9
"16","2000","1","ENERO",60901,"CAJAMARCA","SAN IGNACIO","SAN IGNACIO",3,0,3
"17","2000","1","ENERO",81206,"CUSCO","QUISPICANCHI","CUSIPATA",0,1,1
"18","2000","1","ENERO",10706,"AMAZONAS","UTCUBAMBA","LONYA GRANDE",0,1,1
"19","2000","1","ENERO",60902,"CAJAMARCA","SAN IGNACIO","CHIRINOS",0,1,1
"20","2000","1","ENERO",100507,"HUANUCO","HUAMALIES","MONZON",1,0,1
"21","2000","1","ENERO",120303,"JUNIN","CHANCHAMAYO","PICHANAQUI",0,1,1
"22","2000","1","ENERO",21210,"ANCASH","HUAYLAS","YURACMARCA",9,0,9
"23","2000","1","ENERO",21204,"ANCASH","HUAYLAS","HUAYLAS",1,0,1
"24","2000","2","ENERO",21205,"ANCASH","HUAYLAS","MATO",0,1,1
"25","2000","2","ENERO",20110,"ANCASH","HUARAZ","PARIACOTO",1,0,1
"26","2000","2","ENERO",22005,"ANCASH","YUNGAY","QUILLO",1,0,1
"27","2000","2","ENERO",60902,"CAJAMARCA","SAN IGNACIO","CHIRINOS",0,1,1
"28","2000","2","ENERO",81306,"CUSCO","URUBAMBA","OLLANTAYTAMBO",0,1,1
"29","2000","2","ENERO",200301,"PIURA","HUANCABAMBA","HUANCABAMBA",0,1,1
"30","2000","2","ENERO",21201,"ANCASH","HUAYLAS","CARAZ",5,1,6
"31","2000","2","ENERO",81206,"CUSCO","QUISPICANCHI","CUSIPATA",0,1,1
"32","2000","2","ENERO",21901,"ANCASH","SIHUAS","SIHUAS",0,1,1
"33","2000","2","ENERO",20402,"ANCASH","ASUNCION","ACOCHACA",1,0,1
"34","2000","2","ENERO",22008,"ANCASH","YUNGAY","YANAMA",1,0,1
"35","2000","2","ENERO",21601,"ANCASH","POMABAMBA","POMABAMBA",2,0,2
"36","2000","2","ENERO",21210,"ANCASH","HUAYLAS","YURACMARCA",10,0,10
"37","2000","2","ENERO",20901,"ANCASH","CORONGO","CORONGO",1,0,1
"38","2000","2","ENERO",60901,"CAJAMARCA","SAN IGNACIO","SAN IGNACIO",2,1,3
"39","2000","2","ENERO",22001,"ANCASH","YUNGAY","YUNGAY",2,2,4
"40","2000","2","ENERO",20905,"ANCASH","CORONGO","LA PAMPA",1,0,1
"41","2000","2","ENERO",151025,"LIMA","YAUYOS","QUINOCAY",2,0,2
"42","2000","2","ENERO",21602,"ANCASH","POMABAMBA","HUAYLLAN",1,0,1
"43","2000","2","ENERO",20601,"ANCASH","CARHUAZ","CARHUAZ",2,0,2
"44","2000","3","ENERO",20402,"ANCASH","ASUNCION","ACOCHACA",1,1,2
"45","2000","3","ENERO",80904,"CUSCO","LA CONVENCION","MARANURA",0,1,1
"46","2000","3","ENERO",151003,"LIMA","YAUYOS","AYAUCA",1,0,1
"47","2000","3","ENERO",10513,"AMAZONAS","LUYA","OCUMAL",0,1,1
"48","2000","3","ENERO",81212,"CUSCO","QUISPICANCHI","QUIQUIJANA",1,0,1
"49","2000","3","ENERO",22003,"ANCASH","YUNGAY","MANCOS",1,0,1
"50","2000","3","ENERO",60901,"CAJAMARCA","SAN IGNACIO","SAN IGNACIO",0,1,1
"51","2000","3","ENERO",150721,"LIMA","HUAROCHIRI","SAN LORENZO DE QUINTI",0,2,2
"52","2000","3","ENERO",80408,"CUSCO","CALCA","YANATILE",0,1,1
"53","2000","3","ENERO",21201,"ANCASH","HUAYLAS","CARAZ",5,0,5
"54","2000","3","ENERO",22001,"ANCASH","YUNGAY","YUNGAY",2,0,2
"55","2000","3","ENERO",21306,"ANCASH","MARISCAL LUZURIAGA","LLUMPA",4,0,4
"56","2000","3","ENERO",22006,"ANCASH","YUNGAY","RANRAHIRCA",1,0,1
