ANO,SEMANA,MES
2000,1,ENERO
2000,2,ENERO
2000,3,ENERO
2000,4,ENERO
2000,5,ENERO
2000,6,FEBRERO
2000,7,FEBRERO
2000,8,FEBRERO
2000,9,FEBRERO
2000,10,MARZO
2000,11,MARZO
2000,12,MARZO
2000,13,MARZO
2000,14,MARZO
2000,15,ABRIL
2000,16,ABRIL
2000,17,ABRIL
2000,18,ABRIL
2000,19,MAYO
2000,20,MAYO
2000,21,MAYO
2000,22,MAYO
2000,23,JUNIO
2000,24,JUNIO
2000,25,JUNIO
2000,26,JUNIO
2000,27,JULIO
2000,28,JULIO
2000,29,JULIO
2000,30,JULIO
2000,31,JULIO
2000,32,AGOSTO
2000,33,AGOSTO
2000,34,AGOSTO
2000,35,AGOSTO
2000,36,SETIEMBRE
2000,37,SETIEMBRE
2000,38,SETIEMBRE
2000,39,SETIEMBRE
2000,40,OCTUBRE
2000,41,OCTUBRE
2000,42,OCTUBRE
2000,43,OCTUBRE
2000,44,OCTUBRE
2000,45,NOVIEMBRE
2000,46,NOVIEMBRE
2000,47,NOVIEMBRE
2000,48,NOVIEMBRE
2000,49,DICIEMBRE
2000,50,DICIEMBRE
2000,51,DICIEMBRE
2000,52,DICIEMBRE
2001,1,DICIEMBRE
2001,2,ENERO
2001,3,ENERO
2001,4,ENERO
2001,5,ENERO
2001,6,FEBRERO
2001,7,FEBRERO
2001,8,FEBRERO
2001,8,FEBERO
2001,9,FEBRERO
2001,9,FEBERO
2001,10,MARZO
2001,11,MARZO
2001,12,MARZO
2001,13,MARZO
2001,14,ABRIL
2001,15,ABRIL
2001,16,ABRIL
2001,17,ABRIL
2001,18,ABRIL
2001,19,MAYO
2001,20,MAYO
2001,21,MAYO
2001,22,MAYO
2001,23,JUNIO
2001,24,JUNIO
2001,25,JUNIO
2001,26,JUNIO
2001,27,JULIO
2001,28,JULIO
2001,29,JULIO
2001,30,JULIO
2001,31,JULIO
2001,32,AGOSTO
2001,33,AGOSTO
2001,34,AGOSTO
2001,35,AGOSTO
2001,36,SETIEMBRE
2001,37,SETIEMBRE
2001,38,SETIEMBRE
2001,39,SETIEMBRE
2001,40,SETIEMBRE
2001,41,OCTUBRE
2001,41,SETIEMBRE
2001,42,OCTUBRE
2001,43,OCTUBRE
2001,44,OCTUBRE
2001,45,NOVIEMBRE
2001,46,NOVIEMBRE
2001,47,NOVIEMBRE
2001,48,NOVIEMBRE
2001,49,DICIEMBRE
2001,50,DICIEMBRE
2001,51,DICIEMBRE
2001,52,DICIEMBRE
2002,1,DICIEMBRE
2002,2,ENERO
2002,3,ENERO
2002,4,ENERO
2002,5,ENERO
2002,6,FEBRERO
2002,7,FEBRERO
2002,8,FEBRERO
2002,9,FEBRERO
2002,10,MARZO
2002,11,MARZO
2002,12,MARZO
2002,13,MARZO
2002,14,MARZO
2002,15,ABRIL
2002,16,ABRIL
2002,17,ABRIL
2002,18,ABRIL
2002,19,MAYO
2002,20,MAYO
2002,21,MAYO
2002,22,MAYO
2002,23,JUNIO
2002,24,JUNIO
2002,25,JUNIO
2002,26,JUNIO
2002,27,JUNIO
2002,28,JULIO
2002,29,JULIO
